XOF CFA
CAD CA$
GMD D
CUP ₱
ANG ƒ
SZL L
OMR OMR
VEF Bs.F.
PGK K
HKD HK$
MZN MTn
XCD
PEN S/.
FKP
ZWL
BWP BWP
TJS
BRL R$
KES Ksh
MYR RM
MDL MDL
CRC ₡
SEK Skr
CLP CL$
PKR PKRs
GIP
RSD din.
GHS GH₵
BIF FBu
TOP T$
VND ₫
BMD
GNF FG
BGN BGN
MOP MOP$
JOD JD
SOS Ssh
KZT KZT
XDR
BYR BYR
NAD N$
ZMK ZK
MVR
KWD KD
TTD TT$
GEL GEL
TWD NT$
ZAR R
KGS лв
ETB Br
UYU $U
RON RON
MGA MGA
LVL Ls
DJF Fdj
MXN MX$
MNT ₮
GTQ GTQ
XPT
COP CO$
MAD MAD
TMT T
CVE CV$
DOP RD$
SGD S$
RWF RWF
BOB Bs
JMD J$
TND DT
NZD NZ$
MTL ₤
BSD
AED AED
MMK MMK
DKK Dkr
IQD IQD
WST
PLN zł
XPF
SYP SY£
BZD BZ$
AMD AMD
BHD BD
XPD
ALL ALL
LBP LB£
NOK Nkr
UZS UZS
MUR MURs
PHP ₱
JPY ¥
LSL
AOA Kz
BTN Nu.
VUV VT
GGP
AFN Af
DZD DA
ARS AR$
JEP
LYD LD
MRO UM
LTL Lt
LAK ₭
USD $
SAR SR
KHR KHR
KYD
BBD
HTG G
SLL Le
LKR SLRs
CDF CDF
MWK MK
LRD
CHF CHF
BAM KM
RUB RUB
SDG SDG
THB ฿
BND BN$
EUR €
CUC CUC$
SHP
NPR NPRs
ILS ₪
KPW ₩
IDR Rp
KMF CF
YER YR
PAB B/.
GBP £
TZS TSh
EGP EGP
ERN Nfk
AZN man.
TRY TL
CLF UF
NIO C$
SRD
PYG ₲
UAH ₴
QAR QR
AWG ƒ
ZMW ZK
CNY CN¥
INR Rs
SCR 
XAU
HRK kn
IMP
STD
HUF Ft
AUD AU$
SBD
XAG
XAF FCFA
FJD
SVC
HNL HNL
BDT Tk
ISK Ikr
IRR IRR
GYD
UGX USh
CZK Kč
NGN ₦
MKD MKD
KRW ₩
